Feature,missing_rate,nunique,abs_corr_to_revenue,base_feature,suffix,CompositeImportance
category_encoded,0.0,3833,0.15657146747880313,category_encoded,calendar_or_static,0.0
city_encoded,0.0,3833,0.22010025954327136,city_encoded,calendar_or_static,0.0
market_era_lag365,0.09522567179754761,4,0.22962605847284223,market_era,lag365,0.0
market_era_lag30,0.007826767545003914,4,0.2693042806293397,market_era,lag30,0.0
year,0.0,11,0.2776336597261205,year,calendar_or_static,0.0
market_era_lag7,0.001826245760500913,4,0.27921382883220064,market_era,lag7,0.0
market_era_roll7,0.00026089225150013044,16,0.28077822622844073,market_era,roll7,0.0
