candidate,start_factor,end_factor,mean_factor,cogs_mix,revenue_mean,cogs_mean
recovery_accel_115_cogs102,1.08,1.22,1.1500000000000001,1.02,4084898.517703641,3395475.4100842825
recovery_accel_118_cogs102,1.09,1.27,1.1800000000000002,1.02,4192893.508452311,3485235.010446824
recovery_accel_120_cogs102,1.1,1.3,1.1999999999999997,1.02,4264627.4442576645,3544857.953254007
recovery_accel_122_cogs102,1.11,1.33,1.22,1.02,4336361.380063021,3604480.8960611885
recovery_accel_124_cogs102,1.12,1.36,1.2400000000000002,1.02,4408095.315868376,3664103.8388683703
