candidate,start_factor,end_factor,mean_factor,cogs_mix,revenue_mean,cogs_mean
recovery_accel_115,1.08,1.22,1.1500000000000001,1.0,4084898.517703641,3328897.4608669435
recovery_accel_120,1.1,1.3,1.1999999999999997,1.0,4264627.4442576645,3475350.934562752
recovery_accel_125,1.12,1.38,1.25,1.0,4444356.37081169,3621804.4082585596
recovery_accel_130,1.15,1.45,1.3,1.0,4623297.1232844405,3767620.262048937
recovery_accel_125_cogs098,1.12,1.38,1.25,0.98,4444356.37081169,3549368.3200933877
recovery_accel_125_cogs102,1.12,1.38,1.25,1.02,4444356.37081169,3694240.496423731
