Feature,Importance
avg_delivery_days_roll7,8810110386176.0
wt_bounce_rate_roll30,8768733052928.0
daily_mobile_order_ratio_lag30,8729335955456.0
daily_avg_fill_rate_roll7,8671232262144.0
month,8563188039680.0
upt_roll7,8542774886400.0
legacy_revenue_share_roll7,8434851250176.0
daily_return_risk_index_roll30,8373276246016.0
wt_page_views_roll30,8188736831488.0
regional_revenue_concentration_index_roll7,8107040702464.0
wt_page_views_lag365,8102638780416.0
daily_cod_order_ratio_roll30,8099560161280.0
category_reason_weighted_return_risk_lag365,7987873710080.0
wt_sessions_lag365,7967041650688.0
payment_method_cancellation_risk_lag30,7888222814208.0
legacy_aov_roll30,7795392380928.0
high_intent_traffic_share_lag365,7773617651712.0
daily_discount_amount_lag365,7750682673152.0
promo_penetration_rate_lag7,7630581399552.0
category_encoded_lag7,7542603251712.0
daily_avg_fill_rate_lag365,7533226360832.0
daily_discount_depth_lag30,7423012634624.0
financing_intensity_index_lag365,7283374292992.0
daily_promo_order_count_roll30,7269618548736.0
regional_revenue_concentration_index_lag7,7178895753216.0
city_encoded_roll7,7174635388928.0
wt_bounce_rate_lag7,7166597005312.0
daily_expected_margin_mix_lag7,7141744181248.0
daily_mobile_order_ratio_roll7,7068822536192.0
wt_unique_visitors_lag7,7068761194496.0
upt_lag7,7037930438656.0
daily_cod_order_ratio_roll7,6990498103296.0
wt_page_views_lag7,6916147249152.0
payment_method_cancellation_risk_roll30,6911717015552.0
wt_bounce_rate_lag365,6828768886784.0
wt_avg_session_dur_lag7,6788058972160.0
wt_avg_session_dur_lag30,6711944413184.0
avg_delivery_days_lag30,6700761350144.0
customer_repurchase_cadence_index_lag7,6234809827328.0
high_intent_traffic_share_lag30,6170131562496.0
daily_avg_fill_rate_lag30,6148366270464.0
upt_lag30,6044346482688.0
regional_revenue_concentration_index_lag30,5943055089664.0
daily_avg_fill_rate_lag7,5857208172544.0
legacy_order_ratio_lag365,5830043762688.0
daily_cod_order_ratio_lag7,5679633399808.0
payment_method_cancellation_risk_lag7,5633704722432.0
new_customer_aov_lag30,5629432299520.0
