Feature,Importance
daily_return_risk_index_roll30,8.0
wt_page_views_roll30,8.0
legacy_order_ratio_roll30,8.0
active_customer_demographic_mix_score_lag7,8.0
wt_unique_visitors_roll7,6.0
legacy_aov_lag7,6.0
active_customer_demographic_mix_score_lag365,5.0
wt_unique_visitors_lag7,5.0
high_intent_traffic_share_lag7,4.0
daily_discount_depth_lag30,4.0
daily_discount_depth_lag365,4.0
promo_penetration_rate_lag365,4.0
daily_promo_order_count_lag7,3.0
month,3.0
covid_intensity,3.0
daily_promo_order_count_lag30,3.0
legacy_aov_roll30,3.0
wt_sessions_lag7,3.0
wt_unique_visitors_roll30,2.0
promo_penetration_rate_lag7,2.0
covid_intensity_roll30,2.0
promo_penetration_rate_lag30,1.0
covid_intensity_lag30,1.0
market_era_roll30,1.0
covid_intensity_lag365,0.0
covid_intensity_lag7,0.0
market_era_lag365,0.0
market_era_roll7,0.0
market_era_lag30,0.0
market_era_lag7,0.0
covid_intensity_roll7,0.0
year,0.0
