Feature,Importance
daily_promo_line_count_lag30,18.0
daily_total_quantity_lag30,18.0
wt_sessions_roll30,18.0
wt_page_views_roll30,17.0
daily_total_quantity_roll7,17.0
daily_order_line_count_roll30,16.0
active_customer_demographic_mix_score_lag30,15.0
daily_order_line_count_roll7,14.0
daily_total_cogs_roll30,14.0
wt_unique_visitors_roll30,14.0
promo_penetration_rate_lag7,13.0
covid_intensity_lag365,12.0
active_customer_demographic_mix_score_lag7,12.0
daily_total_quantity_roll30,12.0
legacy_order_ratio_roll7,10.0
covid_intensity,9.0
covid_intensity_roll30,7.0
active_customer_demographic_mix_score_lag365,7.0
month,6.0
covid_intensity_lag7,6.0
covid_intensity_roll7,6.0
promo_penetration_rate_lag30,5.0
legacy_revenue_share_roll30,5.0
active_customer_demographic_mix_score_roll7,3.0
active_customer_demographic_mix_score_roll30,0.0
market_era_roll30,0.0
market_era_roll7,0.0
market_era_lag7,0.0
market_era_lag30,0.0
market_era_lag365,0.0
year,0.0
